team_size,role,wins,losses,draws,total_games,win_rate,avg_dmg_dealt,avg_dmg_received,avg_dmg_mitigated,avg_healing,avg_shielding,avg_stuns,kda,avg_dmg_auto,avg_dmg_ability,avg_dmg_ultimate
1,assassin,18093,1482,13875,33450,0.540897,439.838822,270.962592,18.345372,0,0,4.760329,1.560841,267.606822,85.968947,86.263053
1,fighter,13176,21216,9934,44326,0.297252,307.785749,403.473556,82.755163,28.133174,33.57283,5.337793,0.978036,213.743048,55.384354,38.658347
1,mage,10768,6098,5194,22060,0.488123,420.033077,230.482601,15.580484,30.97602,0,0.398413,1.236369,248.061349,88.257884,83.713844
1,marksman,12378,10870,10340,33588,0.368524,417.155603,171.6138,9.032305,0,0,0.546713,1.08214,320.529676,46.303484,50.322443
1,support,10788,17406,5092,33286,0.3241,293.77694,339.306389,30.863275,203.701218,6.854774,2.214595,0.820301,287.841472,0,5.935468
1,tank,7852,15983,9455,33290,0.235867,194.684985,505.762134,225.884876,141.719886,44.35422,0.441184,0.729237,172.128588,5.902474,16.653922
2,assassin,24575,36514,5274,66363,0.370312,373.18336,425.141194,29.96075,0,0,4.28989,1.06841,239.577023,77.455653,56.150684
2,fighter,28689,53315,6915,88919,0.322642,295.975705,492.079457,101.542247,27.377284,31.901624,5.412713,1.073462,211.205731,51.218929,33.551045
2,mage,28963,11909,3590,44462,0.65141,591.965512,208.994587,14.705118,43.407764,0,0.436575,2.913066,341.125301,130.035644,120.804566
2,marksman,43392,17842,5493,66727,0.650291,598.969743,146.622992,7.82957,0,0,0.578851,2.804413,462.444009,61.9817,74.544034
2,support,37135,24638,4926,66699,0.556755,359.81031,271.29161,25.830044,249.796391,13.041695,3.245266,2.738728,347.867893,0,11.942417
2,tank,21332,39868,5630,66830,0.319198,160.525246,585.585178,254.435029,120.741658,39.876523,0.383151,1.167024,142.593941,5.812882,12.118423
3,assassin,37235,57527,5505,100267,0.371358,313.85835,455.407586,32.317432,0,0,3.850788,1.054814,201.49045,69.476387,42.891513
3,fighter,47142,78372,7062,132576,0.355585,286.72475,502.30732,103.817899,26.562447,31.464066,5.377783,1.151346,205.451206,48.960455,32.313089
3,mage,41951,21432,3526,66909,0.626986,627.737385,215.08006,15.597025,46.226113,0,0.422544,3.727744,366.390123,137.334513,124.012749
3,marksman,63873,30634,5403,99910,0.639305,650.755857,148.666314,8.031407,0,0,0.584036,3.743149,507.971197,65.850105,76.934555
3,support,56767,38469,5251,100487,0.564919,379.384244,254.541364,24.667602,260.276046,14.386816,3.597301,3.827166,366.159642,0,13.224602
3,tank,36886,57420,5545,99851,0.36941,155.580487,575.608907,247.426022,119.841013,39.79173,0.394848,1.402859,137.3948,6.288664,11.897023
4,assassin,50554,76414,6070,133038,0.379997,267.79009,468.161579,33.275664,0,0,3.511598,0.983486,169.742412,64.348432,33.699246
4,fighter,66553,102870,8175,177598,0.37474,287.863259,492.394317,102.150188,26.457852,32.402709,5.496847,1.220598,204.760068,49.799148,33.304043
4,mage,53972,30744,3878,88594,0.609206,630.53037,223.235323,16.269377,46.202384,0,0.387374,4.09223,369.219668,138.409932,122.90077
4,marksman,83964,43698,5865,133527,0.628817,661.186354,153.591825,8.360628,0,0,0.584923,4.122033,518.221103,66.534052,76.4312
4,support,75212,52493,5766,133471,0.563508,390.25886,243.95181,23.782156,265.804587,15.231983,3.769523,4.427809,376.292309,0,13.966551
4,tank,51769,75805,6198,133772,0.386994,156.687614,550.571503,235.629493,123.317324,41.306163,0.423392,1.578259,137.387163,6.795768,12.504684
5,assassin,65458,94951,6464,166873,0.392262,240.603482,481.237598,34.192226,0,0,3.26465,0.946336,152.942551,60.343764,27.317167
5,fighter,85594,128118,8547,222259,0.385109,289.928698,487.472571,101.364366,26.688125,32.96966,5.577691,1.316842,206.513906,49.606701,33.808092
5,mage,65390,41530,4114,111034,0.588919,617.475857,231.493879,16.960688,45.265783,0,0.354333,4.289534,362.866533,135.663359,118.945965
5,marksman,104433,55892,6267,166592,0.626879,668.709451,158.059974,8.665804,0,0,0.58525,4.492818,525.350605,66.512746,76.846101
5,support,93316,67120,6082,166518,0.560396,397.485621,229.770024,22.520521,268.460857,15.880878,3.907379,5.128628,382.921587,0,14.564034
5,tank,66849,93429,6446,166724,0.400956,160.045848,531.807679,226.846743,125.532797,42.534248,0.453636,1.847647,139.532568,7.557758,12.955523
